Reevaluated eddy covariance CO2 flux and transfer velocity data from HiWinGS cruise
Missing fields noted by NaN
Please see corresponding paper and original literature for details
Correspondence to:
Mingxi Yang
miya@pml.ac.uk
Nov 2021
Data column descriptions:
YearMonthDay_TimeUTC		: timestamp for middle of hourly average
lat_deg						: decimal latitude 
lon_deg						: decimal longitude
CO2flux_mmol_m2_d			: eddy covariance CO2 flux, mmol/m2/d
kCO2660_cm_hr				: CO2 transfer velocity at Sc=660, cm/hr
kCO2_cm_hr					: CO2 transfer velocity at ambient Sc
ustar_insitu_m_s			: friction velocity from in situ wind measurements, m/s
U10n_insitu_m_s				: 10-m neutral wind speed from in situ wind measurements, m/s
SST_C						: bulk underway water temperature, deg C
Tskin_C						: skin temperature (bulk temperature corrected by COARE3.5 model cool skin effect), deg C
sal							: salinity (assumed to be 35 if missing)
dfCO2_uatm					: sea-air difference in fCO2 (=fCO2w - fCO2a), uatm
sol_CO2_bulk_mole_m3_atm	: CO2 solubility computed at bulk water temperature, moles/m3/atm
sol_CO2_skin_mole_m3_atm	: CO2 solubility computed at skin temperature, moles/m3/atm
DCCO2_mmol_m3				: sea-air difference in CO2 concentration (=sol_CO2_bulk_mole_m3_atm*fCO2w - sol_CO2_skin_mole_m3_atm*fCO2a), mmol/m3
Sc_CO2_bulk					: Schmidt number of CO2 computed at bulk water temperature
U10n_ECMWF_m_s				: 10-m neutral wind speed from ECMWF model, m/s
ustar_ECMWF_m_s				: friction velocity from ECMWF model, m/s
Hs_ECMWF_tot_m				: significant wave height of total waves from ECMWF model, m
RHw0						: wave Reynolds number at 20 deg C computed from Hs_ECMWF_tot_m and ustar_insitu_m_s
MSS_ECWAM					: mean squared slope of waves from ECMWF model
Hs_ECMWF_windsea_m			: significant wave height of wind sea, m
Hs_ECMWF_swell_m			: significant wave height of swell, m
MeanPeriod_ECMWF_tot_s		: mean wave period of total waves, s
MeanPeriod_ECMWF_swell_s	: mean wave period of swell, s
MeanPeriod_ECMWF_windsea_s	: mean wave period of wind sea, s
Wdir_ECMWF_deg				: wind direction from ECMWF model, deg
Swell_dir_ECMWF_deg			: swell direction from ECMWF model, deg
YearMonthDay_TimeUTC	lat_deg	lon_deg	CO2flux_mmol_m2_d	kCO2660_cm_hr	kCO2_cm_hr	ustar_insitu_m_s	U10n_insitu_m_s	SST_C	Tskin_C	sal	dfCO2_uatm	sol_CO2_bulk_mole_m3_atm	sol_CO2_skin_mole_m3_atm	DCCO2_mmol_m3	Sc_CO2_bulk	U10n_ECMWF_m_s	ustar_ECMWF_m_s	Hs_ECMWF_tot_m	RHw0	MSS_ECWAM	Hs_ECMWF_windsea_m	Hs_ECMWF_swell_m	MeanPeriod_ECMWF_tot_s	MeanPeriod_ECMWF_swell_s	MeanPeriod_ECMWF_windsea_s	Wdir_ECMWF_deg	Swell_dir_ECMWF_deg
2013-10-09 13:30:00	64.1674	-51.8046	NaN	NaN	NaN	NaN	NaN	3.34538	3.39082	30.9473	NaN	58.0992	58.0013	NaN	1710.63	NaN	0.593952	2.96686	NaN	0.018835	2.96448	0.04059	8.75855	5.95809	8.85612	159.75	199.682
2013-10-09 14:30:00	64.1662	-51.8041	NaN	NaN	NaN	NaN	NaN	3.40706	3.44365	31.3734	NaN	57.8395	57.761	NaN	1704.01	NaN	0.656931	3.18709	NaN	0.020422	3.1845	0.029805	8.80895	6.47701	8.92356	166.148	198.417
2013-10-09 15:30:00	64.1661	-51.804	NaN	NaN	NaN	NaN	NaN	3.47737	3.48797	31.3945	NaN	57.6828	57.6601	NaN	1696.5	NaN	0.589809	3.12863	NaN	0.019635	3.12637	0.024507	8.77864	6.35079	8.89139	172.208	197.152
2013-10-09 16:30:00	64.1661	-51.804	NaN	NaN	NaN	NaN	NaN	3.443	3.45244	31.3665	NaN	57.7646	57.7443	NaN	1700.16	NaN	0.41377	2.74295	NaN	0.017482	2.54433	0.442062	8.6622	8.85137	8.46897	175.376	195.887
2013-10-09 17:30:00	64.1653	-51.803	NaN	NaN	NaN	NaN	NaN	3.35775	3.37008	31.3029	NaN	57.9664	57.9399	NaN	1709.3	NaN	0.30602	2.29213	NaN	0.015323	1.87406	0.970698	8.52961	10.6261	7.91054	174.521	194.622
2013-10-09 18:30:00	64.1612	-51.7966	NaN	NaN	NaN	NaN	NaN	3.34702	3.36119	31.2832	NaN	57.9953	57.9649	NaN	1710.45	12.8169	0.273971	1.74047	NaN	0.011972	1.43585	0.860573	8.32219	10.0665	7.74692	169.487	193.356
2013-10-09 19:30:00	64.1614	-51.7963	NaN	NaN	NaN	NaN	NaN	3.34573	3.3616	31.2156	NaN	58.0183	57.9841	NaN	1710.59	12.2572	0.258749	1.55682	NaN	0.011066	1.14111	0.99609	8.13863	9.41833	7.25559	162.242	192.091
2013-10-09 20:30:00	64.1123	-51.9501	NaN	NaN	NaN	NaN	NaN	3.34342	3.33259	31.3133	NaN	57.9941	58.0174	NaN	1710.84	11.6975	0.375473	2.42075	NaN	0.016818	1.50507	1.85564	8.26975	9.25472	6.51797	158.065	190.826
2013-10-09 21:30:00	64.0189	-52.2589	NaN	NaN	NaN	NaN	NaN	3.31744	3.31928	31.7048	NaN	57.9331	57.9292	NaN	1713.63	11.1378	0.450258	3.11837	NaN	0.021194	2.1186	2.27709	8.41261	9.78326	6.77745	160.017	189.561
2013-10-09 22:30:00	63.8842	-52.2639	NaN	NaN	NaN	NaN	NaN	3.10442	3.10956	31.871	NaN	58.3437	58.3327	NaN	1736.77	10.5781	0.413959	3.11166	NaN	0.021616	1.90121	2.45455	8.36921	9.73379	6.12051	162.371	188.296
