Reevaluated eddy covariance CO2 flux and transfer velocity data from Knorr-11 cruise
Missing fields noted by NaN
Please see corresponding paper and original literature for details
Correspondence to:
Mingxi Yang
miya@pml.ac.uk
Nov 2021
Data column descriptions:
YearMonthDay_TimeUTC		: timestamp for middle of hourly average
lat_deg						: decimal latitude 
lon_deg						: decimal longitude
CO2flux_mmol_m2_d			: eddy covariance CO2 flux, mmol/m2/d
kCO2660_cm_hr				: CO2 transfer velocity at Sc=660, cm/hr
kCO2_cm_hr					: CO2 transfer velocity at ambient Sc
ustar_insitu_m_s			: friction velocity from in situ wind measurements, m/s
U10n_insitu_m_s				: 10-m neutral wind speed from in situ wind measurements, m/s
SST_C						: bulk underway water temperature, deg C
Tskin_C						: skin temperature (bulk temperature corrected by COARE3.5 model cool skin effect), deg C
sal							: salinity (assumed to be 35 if missing)
dfCO2_uatm					: sea-air difference in fCO2 (=fCO2w - fCO2a), uatm
sol_CO2_bulk_mole_m3_atm	: CO2 solubility computed at bulk water temperature, moles/m3/atm
sol_CO2_skin_mole_m3_atm	: CO2 solubility computed at skin temperature, moles/m3/atm
DCCO2_mmol_m3				: sea-air difference in CO2 concentration (=sol_CO2_bulk_mole_m3_atm*fCO2w - sol_CO2_skin_mole_m3_atm*fCO2a), mmol/m3
Sc_CO2_bulk					: Schmidt number of CO2 computed at bulk water temperature
U10n_ECMWF_m_s				: 10-m neutral wind speed from ECMWF model, m/s
ustar_ECMWF_m_s				: friction velocity from ECMWF model, m/s
Hs_ECMWF_tot_m				: significant wave height of total waves from ECMWF model, m
RHw0						: wave Reynolds number at 20 deg C computed from Hs_ECMWF_tot_m and ustar_insitu_m_s
MSS_ECWAM					: mean squared slope of waves from ECMWF model
Hs_ECMWF_windsea_m			: significant wave height of wind sea, m
Hs_ECMWF_swell_m			: significant wave height of swell, m
MeanPeriod_ECMWF_tot_s		: mean wave period of total waves, s
MeanPeriod_ECMWF_swell_s	: mean wave period of swell, s
MeanPeriod_ECMWF_windsea_s	: mean wave period of wind sea, s
Wdir_ECMWF_deg				: wind direction from ECMWF model, deg
Swell_dir_ECMWF_deg			: swell direction from ECMWF model, deg
YearMonthDay_TimeUTC	lat_deg	lon_deg	CO2flux_mmol_m2_d	kCO2660_cm_hr	kCO2_cm_hr	ustar_insitu_m_s	U10n_insitu_m_s	SST_C	Tskin_C	sal	dfCO2_uatm	sol_CO2_bulk_mole_m3_atm	sol_CO2_skin_mole_m3_atm	DCCO2_mmol_m3	Sc_CO2_bulk	U10n_ECMWF_m_s	ustar_ECMWF_m_s	Hs_ECMWF_tot_m	RHw0	MSS_ECWAM	Hs_ECMWF_windsea_m	Hs_ECMWF_swell_m	MeanPeriod_ECMWF_tot_s	MeanPeriod_ECMWF_swell_s	MeanPeriod_ECMWF_windsea_s	Wdir_ECMWF_deg	Swell_dir_ECMWF_deg
2011-06-25 00:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	133.424
2011-06-25 01:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	141.456
2011-06-25 02:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	149.488
2011-06-25 03:30:00	41.2188	-67.655	NaN	NaN	NaN	0.0548868	1.72902	12.436	12.4757	35	11.9563	41.6253	41.572	0.518674	995.38	1.76668	0.0558162	1.45162	72651.2	0.00567633	0.0203433	1.45144	6.24721	6.24829	1.07713	140.411	157.52
2011-06-25 04:30:00	41.0929	-67.4349	NaN	NaN	NaN	0.0708592	2.25431	12.066	12.1747	35	-36.2738	42.1202	41.9736	-1.47009	1016.18	1.60279	0.0509327	1.45955	93770.6	0.00540067	0.0142898	1.4594	6.32248	6.32266	1.03354	151.619	165.552
2011-06-25 05:30:00	40.9395	-67.2484	NaN	NaN	NaN	0.0888865	2.83974	12.7754	12.9089	35	-37.0332	41.1818	41.008	-1.45779	976.942	1.66209	0.0526982	1.46417	117598	0.0051115	0.0160738	1.46401	6.40038	6.40032	1.0861	164.536	173.584
2011-06-25 06:30:00	40.7949	-67.0557	NaN	NaN	NaN	0.0992894	3.16318	12.3956	12.5769	35	-24.9089	41.6811	41.4411	-0.945562	997.755	1.97205	0.061947	1.47226	132343	0.005	0.0310718	1.47185	6.4703	6.47203	1.21444	183.975	182.093
2011-06-25 07:30:00	40.6295	-66.8764	NaN	NaN	NaN	0.102196	3.26266	15.2334	15.3484	35	-12.1591	38.1706	38.0372	-0.412815	855.378	3.06281	0.0954295	1.4824	138271	0.0055905	0.0897565	1.47921	6.5273	6.54664	1.55596	205.325	191.079
2011-06-25 08:30:00	40.4449	-66.7406	NaN	NaN	NaN	0.0858997	2.73778	17.4839	17.5665	35	-12.1581	35.6851	35.5989	-0.400714	759.602	4.05774	0.127987	1.49604	117950	0.00714633	0.182988	1.48438	6.54968	6.61858	2.00966	215.757	200.065
2011-06-25 09:30:00	40.2964	-66.5276	NaN	NaN	NaN	0.104599	3.29723	18.6059	18.6563	35	-20.7391	34.5425	34.4927	-0.697221	717.037	4.14568	0.131724	1.5257	145731	0.00838333	0.21439	1.51016	6.56067	6.65035	2.09373	222.893	209.052
2011-06-25 10:30:00	40.1527	-66.2891	NaN	NaN	NaN	0.0473186	1.47368	17.3124	17.469	35	-26.2318	35.8669	35.7022	-0.87755	766.478	3.68033	0.115935	1.5566	66878.2	0.0086275	0.168979	1.54707	6.58726	6.64377	1.85056	223.572	218.038
