Reevaluated eddy covariance CO2 flux and transfer velocity data from SOAP cruise
Missing fields noted by NaN
Please see corresponding paper and original literature for details
Correspondence to:
Mingxi Yang
miya@pml.ac.uk
Nov 2021
Data column descriptions:
YearMonthDay_TimeUTC		: timestamp for middle of hourly average
lat_deg						: decimal latitude 
lon_deg						: decimal longitude
CO2flux_mmol_m2_d			: eddy covariance CO2 flux, mmol/m2/d
kCO2660_cm_hr				: CO2 transfer velocity at Sc=660, cm/hr
kCO2_cm_hr					: CO2 transfer velocity at ambient Sc
ustar_insitu_m_s			: friction velocity from in situ wind measurements, m/s
U10n_insitu_m_s				: 10-m neutral wind speed from in situ wind measurements, m/s
SST_C						: bulk underway water temperature, deg C
Tskin_C						: skin temperature (bulk temperature corrected by COARE3.5 model cool skin effect), deg C
sal							: salinity (assumed to be 35 if missing)
dfCO2_uatm					: sea-air difference in fCO2 (=fCO2w - fCO2a), uatm
sol_CO2_bulk_mole_m3_atm	: CO2 solubility computed at bulk water temperature, moles/m3/atm
sol_CO2_skin_mole_m3_atm	: CO2 solubility computed at skin temperature, moles/m3/atm
DCCO2_mmol_m3				: sea-air difference in CO2 concentration (=sol_CO2_bulk_mole_m3_atm*fCO2w - sol_CO2_skin_mole_m3_atm*fCO2a), mmol/m3
Sc_CO2_bulk					: Schmidt number of CO2 computed at bulk water temperature
U10n_ECMWF_m_s				: 10-m neutral wind speed from ECMWF model, m/s
ustar_ECMWF_m_s				: friction velocity from ECMWF model, m/s
Hs_ECMWF_tot_m				: significant wave height of total waves from ECMWF model, m
RHw0						: wave Reynolds number at 20 deg C computed from Hs_ECMWF_tot_m and ustar_insitu_m_s
MSS_ECWAM					: mean squared slope of waves from ECMWF model
Hs_ECMWF_windsea_m			: significant wave height of wind sea, m
Hs_ECMWF_swell_m			: significant wave height of swell, m
MeanPeriod_ECMWF_tot_s		: mean wave period of total waves, s
MeanPeriod_ECMWF_swell_s	: mean wave period of swell, s
MeanPeriod_ECMWF_windsea_s	: mean wave period of wind sea, s
Wdir_ECMWF_deg				: wind direction from ECMWF model, deg
Swell_dir_ECMWF_deg			: swell direction from ECMWF model, deg
YearMonthDay_TimeUTC	lat_deg	lon_deg	CO2flux_mmol_m2_d	kCO2660_cm_hr	kCO2_cm_hr	ustar_insitu_m_s	U10n_insitu_m_s	SST_C	Tskin_C	sal	dfCO2_uatm	sol_CO2_bulk_mole_m3_atm	sol_CO2_skin_mole_m3_atm	DCCO2_mmol_m3	Sc_CO2_bulk	U10n_ECMWF_m_s	ustar_ECMWF_m_s	Hs_ECMWF_tot_m	RHw0	MSS_ECWAM	Hs_ECMWF_windsea_m	Hs_ECMWF_swell_m	MeanPeriod_ECMWF_tot_s	MeanPeriod_ECMWF_swell_s	MeanPeriod_ECMWF_windsea_s	Wdir_ECMWF_deg	Swell_dir_ECMWF_deg
2012-02-13 00:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2012-02-13 01:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2012-02-13 02:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2012-02-13 03:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2012-02-13 04:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2012-02-13 05:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2012-02-13 06:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2012-02-13 07:30:00	-42.7831	174.82	NaN	NaN	NaN	0.301208	NaN	16.3521	16.0604	35	NaN	36.8924	37.2151	NaN	805.418	4.55834	0.146238	1.65255	474965	0.007013	0.256044	1.63253	9.54275	9.72625	2.39213	106.545	192.116
2012-02-13 08:30:00	-42.9102	174.823	NaN	NaN	NaN	0.200322	NaN	16.3051	15.9872	35	NaN	36.9447	37.2973	NaN	807.436	4.50193	0.144046	1.68144	321403	0.006689	0.228763	1.66559	9.63498	9.78226	2.28121	98.3321	193.416
2012-02-13 09:30:00	-43.0769	174.835	NaN	NaN	NaN	0.246071	NaN	16.1116	15.7722	35	NaN	37.1598	37.5404	NaN	815.745	3.94772	0.125073	1.71809	403409	0.0062175	0.18063	1.70805	9.74368	9.84007	2.03631	82.3903	195.033
2012-02-13 10:30:00	-43.3051	174.843	NaN	NaN	NaN	NaN	NaN	15.8726	15.485	35	NaN	37.4253	37.865	NaN	825.992	3.34563	0.104298	1.76307	NaN	0.005503	0.138332	1.7575	9.87547	9.9331	1.84034	69.8877	197.319
2012-02-13 11:30:00	-43.433	174.852	NaN	NaN	NaN	0.208398	NaN	15.7393	15.3899	35	NaN	37.5765	37.9751	NaN	831.879	3.57919	0.111805	1.78955	355857	0.0053575	0.141128	1.78386	9.94202	10.0004	1.8553	70.3924	198.674
2012-02-13 12:30:00	-43.6214	174.862	NaN	NaN	NaN	NaN	NaN	16.028	15.7201	35	NaN	37.2513	37.5973	NaN	819.25	3.90422	0.122624	1.82816	NaN	0.0054335	0.152694	1.82165	10.0299	10.0949	1.8786	71.0868	200.525
2012-02-13 13:30:00	-43.8031	174.864	NaN	NaN	NaN	0.262296	NaN	14.7217	14.5453	35	NaN	38.7556	38.9661	NaN	878.252	4.16564	0.131779	1.86373	466460	0.005642	0.163569	1.85641	10.0974	10.169	1.85311	71.3004	202.099
2012-02-13 14:30:00	-43.9213	174.855	NaN	NaN	NaN	0.266644	NaN	14.5114	14.3147	35	NaN	39.0062	39.2432	NaN	888.23	4.33434	0.137925	1.88471	479531	0.005881	0.173599	1.87654	10.1326	10.2113	1.84956	70.6448	203.026
2012-02-13 15:30:00	-44.148	174.854	NaN	NaN	NaN	0.284773	NaN	14.6778	14.4545	35	NaN	38.8072	39.0742	NaN	880.293	4.88159	0.158728	1.92712	523656	0.00664367	0.202407	1.91626	10.1947	10.2951	1.8867	65.7223	204.771
2012-02-13 16:30:00	-44.3129	174.858	NaN	NaN	NaN	0.253495	NaN	14.2423	14.0524	35	NaN	39.331	39.5628	NaN	901.245	5.1188	0.168417	1.95784	473572	0.0070834	0.217037	1.94563	10.2452	10.3562	1.90694	58.8706	205.951
2012-02-13 17:30:00	-44.5011	174.858	NaN	NaN	NaN	0.274654	NaN	13.8446	13.6767	35	NaN	39.8189	40.0277	NaN	920.935	5.0993	0.167907	1.99172	521979	0.0072575	0.225812	1.97871	10.3184	10.4349	1.92947	51.9119	207.19
2012-02-13 18:30:00	-44.653	174.86	NaN	NaN	NaN	0.253163	NaN	13.6555	13.4942	35	NaN	40.0548	40.2571	NaN	930.526	5.04875	0.165753	2.02059	488109	0.00724467	0.230231	2.00723	10.3907	10.5094	1.94596	47.8354	208.086
2012-02-13 19:30:00	-44.6391	174.761	NaN	NaN	NaN	0.263778	NaN	13.6097	13.4712	35	NaN	40.1109	40.285	NaN	932.796	5.24672	0.173169	1.99891	503120	0.007824	0.263853	1.98125	10.3807	10.5352	2.07229	45.1918	207.659
2012-02-13 20:30:00	-44.4485	174.441	NaN	NaN	NaN	0.359604	NaN	14.6088	14.487	35	NaN	38.8893	39.0352	NaN	883.563	5.35508	0.178762	1.90239	652773	0.0091025	0.344954	1.87053	10.2494	10.5221	2.43435	52.1774	205.533
