Reevaluated eddy covariance CO2 flux and transfer velocity data from SO-234/235 cruises
Missing fields noted by NaN
Please see corresponding paper and original literature for details
Correspondence to:
Mingxi Yang
miya@pml.ac.uk
Nov 2021
Data column descriptions:
YearMonthDay_TimeUTC		: timestamp for middle of hourly average
lat_deg						: decimal latitude 
lon_deg						: decimal longitude
CO2flux_mmol_m2_d			: eddy covariance CO2 flux, mmol/m2/d
kCO2660_cm_hr				: CO2 transfer velocity at Sc=660, cm/hr
kCO2_cm_hr					: CO2 transfer velocity at ambient Sc
ustar_insitu_m_s			: friction velocity from in situ wind measurements, m/s
U10n_insitu_m_s				: 10-m neutral wind speed from in situ wind measurements, m/s
SST_C						: bulk underway water temperature, deg C
Tskin_C						: skin temperature (bulk temperature corrected by COARE3.5 model cool skin effect), deg C
sal							: salinity (assumed to be 35 if missing)
dfCO2_uatm					: sea-air difference in fCO2 (=fCO2w - fCO2a), uatm
sol_CO2_bulk_mole_m3_atm	: CO2 solubility computed at bulk water temperature, moles/m3/atm
sol_CO2_skin_mole_m3_atm	: CO2 solubility computed at skin temperature, moles/m3/atm
DCCO2_mmol_m3				: sea-air difference in CO2 concentration (=sol_CO2_bulk_mole_m3_atm*fCO2w - sol_CO2_skin_mole_m3_atm*fCO2a), mmol/m3
Sc_CO2_bulk					: Schmidt number of CO2 computed at bulk water temperature
U10n_ECMWF_m_s				: 10-m neutral wind speed from ECMWF model, m/s
ustar_ECMWF_m_s				: friction velocity from ECMWF model, m/s
Hs_ECMWF_tot_m				: significant wave height of total waves from ECMWF model, m
RHw0						: wave Reynolds number at 20 deg C computed from Hs_ECMWF_tot_m and ustar_insitu_m_s
MSS_ECWAM					: mean squared slope of waves from ECMWF model
Hs_ECMWF_windsea_m			: significant wave height of wind sea, m
Hs_ECMWF_swell_m			: significant wave height of swell, m
MeanPeriod_ECMWF_tot_s		: mean wave period of total waves, s
MeanPeriod_ECMWF_swell_s	: mean wave period of swell, s
MeanPeriod_ECMWF_windsea_s	: mean wave period of wind sea, s
Wdir_ECMWF_deg				: wind direction from ECMWF model, deg
Swell_dir_ECMWF_deg			: swell direction from ECMWF model, deg
YearMonthDay_TimeUTC	lat_deg	lon_deg	CO2flux_mmol_m2_d	kCO2660_cm_hr	kCO2_cm_hr	ustar_insitu_m_s	U10n_insitu_m_s	SST_C	Tskin_C	sal	dfCO2_uatm	sol_CO2_bulk_mole_m3_atm	sol_CO2_skin_mole_m3_atm	DCCO2_mmol_m3	Sc_CO2_bulk	U10n_ECMWF_m_s	ustar_ECMWF_m_s	Hs_ECMWF_tot_m	RHw0	MSS_ECWAM	Hs_ECMWF_windsea_m	Hs_ECMWF_swell_m	MeanPeriod_ECMWF_tot_s	MeanPeriod_ECMWF_swell_s	MeanPeriod_ECMWF_windsea_s	Wdir_ECMWF_deg	Swell_dir_ECMWF_deg
2014-07-14 00:30:00	-27.624	51.14	-8.04669	23.3234	23.2863	0.379827	10.298	20.1887	20.0833	35.6923	-43.689	32.9261	33.0228	-1.47615	662.104	7.14253	0.251608	2.55773	927001	0.013562	0.659394	2.47091	12.1648	12.7886	3.47559	352.361	202.627
2014-07-14 01:30:00	-27.677	51.3325	-6.7611	20.1173	19.9762	0.342128	9.5326	19.9698	19.866	35.686	-42.5752	33.128	33.2242	-1.44787	669.357	7.09462	0.249662	2.5347	827475	0.013366	0.64482	2.4507	12.1521	12.7621	3.43182	352.712	202.613
2014-07-14 02:30:00	-27.7505	51.604	-6.18855	18.0974	17.943	0.343906	9.57195	19.9085	19.8044	35.675	-43.309	33.1864	33.2833	-1.47495	671.411	7.2144	0.254447	2.50005	820404	0.013237	0.642722	2.41521	12.1274	12.7511	3.42216	354.32	202.665
2014-07-14 03:30:00	-27.7953	51.7695	-6.49036	18.9479	18.7947	0.347855	9.65318	19.9265	19.8243	35.6752	-43.3708	33.1697	33.2647	-1.47556	670.808	7.43721	0.264462	2.47909	822867	0.013331	0.643875	2.3933	12.1014	12.7377	3.40724	355.406	202.681
2014-07-14 04:30:00	-27.8563	51.993	-6.89728	19.8433	19.7258	0.333072	9.34607	20.0137	19.9163	35.657	-44.034	33.0918	33.182	-1.49227	667.887	7.5678	0.27494	2.45341	779736	0.013743	0.654624	2.36379	12.0477	12.7185	3.38877	354.427	202.65
2014-07-14 05:30:00	-27.9165	52.2177	-6.05702	17.4099	17.3163	0.305692	8.76168	20.0355	19.9351	35.6515	-44.1097	33.0725	33.1654	-1.49496	667.159	7.50487	0.272949	2.42944	708643	0.014045	0.664745	2.33624	11.9793	12.6814	3.37068	352.425	202.67
2014-07-14 06:30:00	-27.976	52.4385	-6.84451	20.0433	19.9799	0.334198	9.37017	20.1245	20.0365	35.6532	-43.2845	32.9903	33.0713	-1.4595	664.199	7.53247	0.274067	2.40252	766142	0.014571	0.707376	2.29572	11.8447	12.6484	3.42948	350.497	202.733
2014-07-14 07:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.75518	0.286124	NaN	NaN	0.015408	NaN	NaN	NaN	NaN	NaN	347.991	202.764
2014-07-14 08:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.8546	0.292722	NaN	NaN	0.015949	NaN	NaN	NaN	NaN	NaN	344.722	202.593
2014-07-14 09:30:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.25151	0.264191	NaN	NaN	0.01542	NaN	NaN	NaN	NaN	NaN	338.803	202.484
